Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,GISJOIN,YEAR,GEOID,GEOCODE,STATE,COUNTY,COUNTYA,TRACTA,U7I001,U7I002,U7I003,UrbanThreshold,RuralThreshold,Urban_or_Rural
0,54902,55139.0,1100,1001.0,Assigned,55139001100,G5501390001100,2020.0,1400000US55139001100,55139001100.0,Wisconsin,Winnebago County,139.0,1100.0,4255.0,4255.0,0.0,100.0,0.0,Urban
1,53703,55025.0,1603,2000.0,Assigned,55025001603,G5500250001603,2020.0,1400000US55025001603,55025001603.0,Wisconsin,Dane County,25.0,1603.0,6733.0,6733.0,0.0,100.0,0.0,Urban
2,54476,55073.0,900,2013.0,Assigned,55073000900,G5500730000900,2020.0,1400000US55073000900,55073000900.0,Wisconsin,Marathon County,73.0,900.0,2189.0,2189.0,0.0,100.0,0.0,Urban
3,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
4,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
5,53511,55105.0,2100,2001.0,Assigned,55105002100,G5501050002100,2020.0,1400000US55105002100,55105002100.0,Wisconsin,Rock County,105.0,2100.0,3766.0,3747.0,19.0,99.49548593,0.504514073,Urban
6,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
7,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
8,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
9,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
10,53559,55025.0,11800,2031.0,Assigned,55025011800,G5500250011800,2020.0,1400000US55025011800,55025011800.0,Wisconsin,Dane County,25.0,11800.0,5828.0,0.0,5828.0,0.0,100.0,Rural
11,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
12,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
13,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
14,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
15,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
16,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
17,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
18,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
19,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
20,53511,55105.0,2500,2002.0,Assigned,55105002500,G5501050002500,2020.0,1400000US55105002500,55105002500.0,Wisconsin,Rock County,105.0,2500.0,2646.0,2646.0,0.0,100.0,0.0,Urban
21,53590,55025.0,11506,1015.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
22,53590,55025.0,11506,1015.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
23,53590,55025.0,11506,1015.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
24,53590,55025.0,11506,1015.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
25,53094,55055.0,100200,3027.0,Assigned,55055100200,G5500550100200,2020.0,1400000US55055100200,55055100200.0,Wisconsin,Jefferson County,55.0,100200.0,3586.0,3586.0,0.0,100.0,0.0,Urban
26,53094,55055.0,100200,3027.0,Assigned,55055100200,G5500550100200,2020.0,1400000US55055100200,55055100200.0,Wisconsin,Jefferson County,55.0,100200.0,3586.0,3586.0,0.0,100.0,0.0,Urban
27,53575,55025.0,12501,1016.0,Assigned,55025012501,G5500250012501,2020.0,1400000US55025012501,55025012501.0,Wisconsin,Dane County,25.0,12501.0,6657.0,6044.0,613.0,90.79164789,9.208352111,Urban
28,53575,55025.0,12501,1016.0,Assigned,55025012501,G5500250012501,2020.0,1400000US55025012501,55025012501.0,Wisconsin,Dane County,25.0,12501.0,6657.0,6044.0,613.0,90.79164789,9.208352111,Urban
29,53711,55025.0,10701,2005.0,Assigned,55025010701,G5500250010701,2020.0,1400000US55025010701,55025010701.0,Wisconsin,Dane County,25.0,10701.0,6351.0,6237.0,114.0,98.20500709,1.794992915,Urban
30,53590,55025.0,11506,1014.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
31,53590,55025.0,11505,2002.0,Assigned,55025011505,G5500250011505,2020.0,1400000US55025011505,55025011505.0,Wisconsin,Dane County,25.0,11505.0,4400.0,4400.0,0.0,100.0,0.0,Urban
32,53590,55025.0,11506,1009.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
33,53590,55025.0,11504,1028.0,Assigned,55025011504,G5500250011504,2020.0,1400000US55025011504,55025011504.0,Wisconsin,Dane County,25.0,11504.0,4989.0,4989.0,0.0,100.0,0.0,Urban
34,53226,55079.0,90700,1000.0,Assigned,55079090700,G5500790090700,2020.0,1400000US55079090700,55079090700.0,Wisconsin,Milwaukee County,79.0,90700.0,3234.0,3234.0,0.0,100.0,0.0,Urban
35,,,0,,Unassigned,0,,,,Unassigned,,,,,,,,,,
36,53590,55025.0,11504,2038.0,Assigned,55025011504,G5500250011504,2020.0,1400000US55025011504,55025011504.0,Wisconsin,Dane County,25.0,11504.0,4989.0,4989.0,0.0,100.0,0.0,Urban
37,54140,55087.0,11900,2029.0,Assigned,55087011900,,,,Unassigned,,,,,,,,,,
38,53590,55025.0,11402,3171.0,Assigned,55025011402,,,,Unassigned,,,,,,,,,,
39,53590,55025.0,11506,2003.0,Assigned,55025011506,G5500250011506,2020.0,1400000US55025011506,55025011506.0,Wisconsin,Dane County,25.0,11506.0,6815.0,6745.0,70.0,98.972854,1.027146001,Urban
40,53590,55025.0,11503,2042.0,Assigned,55025011503,,,,Unassigned,,,,,,,,,,
41,53590,55025.0,11600,2054.0,Assigned,55025011600,G5500250011600,2020.0,1400000US55025011600,55025011600.0,Wisconsin,Dane County,25.0,11600.0,7398.0,7152.0,246.0,96.67477697,3.325223033,Urban
42,53590,55025.0,11503,1042.0,Assigned,55025011503,,,,Unassigned,,,,,,,,,,
43,53590,55025.0,11600,2011.0,Assigned,55025011600,G5500250011600,2020.0,1400000US55025011600,55025011600.0,Wisconsin,Dane County,25.0,11600.0,7398.0,7152.0,246.0,96.67477697,3.325223033,Urban
